A				aI
some			sum
son				sun
song			soG
sort			sOrt
sound			sA@nd
soup			sUp
south			sA@T
space			spxAs.
spade			spxAd
special			spes@l
sponge			sp@nJ
spoon			spUn
spring			sprIG
square			skuer
stage			stxAJ
stamp			stamp
star			stor
start			stort
statement		stxAtmint
station			stxAS@n
steam			stIm
steel			stIl
stem			stem
step			step
stick			stik
sticky			stikI
stiff			stif
still			stil
stitch			stiC
stocking		stokIG
stomach			st@m@k
stone			stWn
stop			stop
store			stOr
story			stOrI
straight		strxAt
strange			strxAnJ
street			strIt
stretch			streC
strong			stroG
structure		str@kS@r
substance		s@bstans.
such			s@C
sudden			s@d@n
sugar			SUg@r
suggestion		s@gJesC@n
summer			s@m@r
sun				s@n
support			s@pOrt
surprise		s@prxIz
sweet			swIt
swim			swim
system			sist@m

salad			sal@d
sardine			sardIn
saturday		saterdxA
second			sek@nd
september		septemb@r
serum			sir@m
seven			sev@n
sir				sir
six				siks
sixteen			sikstIn
sport			spOrt
sunday			s@ndxA

sac				sak
sale			sxAl
sample			samp@l
satisfaction	satisfakS@n
saturated		sat@rxAt@d
saucer			sos@r
saving			sxAvIG
scale			skxAl
scarp			skorp
schist			Sist
scratch			skraC
screen			skrIn
seal			sIl
search			s@rC
security		sek@ritI
secretion		sekrIS@n
section			sekS@n
sedimentary		sediment@rI
selfish			selfiS
sensitivity		sensitivitI
sentence		sentans.
sepal			sep@l
service			s@rvis
set				set
shadow			SadW
shale			SxAl
share			Ser
shave			SxAv
shear			SIr
sheet			SIt
shell			Sel
shore			SOr
shoulder		SOld@r
show			SW
sight			sxIt
sill			sil
similarity		similer@tI
since			sins.
skull			skul
slate			slxAt
sleeve			slIv
slide			slxId
social			sWSol
soil			sOIl
soldier			sOld@r
solution		sulUS@n
solvent			solvent
sorry			sorI
spark			spork
specialization	speS@lxIzxAS@n
specimen		spesiman
speculation		spekulxAS@n
spirit			spIr@t
spit			spit
splash			splaS
spot			spot
stable			stxAb@l
stain			stxAn
stair			ster
stalk			stok
stamen			stxAm@n
statistics		st@tistiks
steady			stedI
stimulus		stimIUl@s
storm			stOrm
strain			strxAn
straw			stro
stream			strIm
strength		streGT
stress			stres.
strike			strxIk
string			strIG
study			st@dI
subject			s@bjekt
substitution	s@bstitUS@n
subtraction		s@btrakS@n
success			s@kses
successive		s@ksesiv
sucker			s@k@r
sum				s@m
supply			s@plxI
surface			s@rfis
surgeon			s@rJ@n
suspension		s@spenS@n
suspicious		s@spiS@s	
swelling		swelIG
swing			swIG
switch			swiC
sympathetic		simp@Tetik

seaman			sIman
secondhand		sek@ndhand
shorthand		SOrthand
sideboard		sxIdbOrd
sidewalk		sxIdwolk
somebody		s@mb@dI
someday			s@mdxA
somehow			s@mhA@
someone			s@mw@n
something		s@mTIG
sometime		s@mtxIm
somewhat		s@mw@t
somewhere		s@mwer
suchlike		s@ClxIk
sunburn			s@nb@rn
sunlight		s@nlxIt
sunshade		s@nSxAd
sweetheart		swIthArt

sailor			sxAl@r
shocking		SokIG
shocked			Sok@d
snowing			snWIG
steamer			stIm@r
stopper			stop@r
stopping		stopIG
stretcher		streC@r

T				.tI.

table			txAb@l
tail			txAl
take			txAk
talk			tok
tall			tol
taste			txAst
tax				taks
teaching		tICIG
tendency		tend@nsI
test			test
than			Dan
that			Dat
the				D@
then			Den
theory			DIrI
there			Der
thick			Dik
thin			Din
thing			DIG
this			Dis
though			DW
thought			Dot
thread			Tred
throat			TrWt
through			TrU
thumb			T@mb
thunder			T@nd@r
ticket			tiket
tight			txIt
tired			txIr@d
till			til
time			txIm
tin				tin
to				tU
toe				tW
together		t@geT@r
tomorrow		t@morW
tongue			t@G
tooth			tUT
top				top
touch			t@C
town			tA@n
trade			trxAd
train			trxAn
transport		transpOrt
tray			trxA
tree			trI
trick			trik
trillion		trilI@n
trousers		trA@z@rz
true			trU
trouble			tr@b@l
turn			t@rn
twist			twist

tapioca			tapIWk@
taxi			taksI
tea				tI
telegram		tel@gram
telephone		tel@fWn
ten				ten
terrace			teras.
theater			TIt@r
thermometer		T@rmomet@r
third			T@rd
thirteen		T@rtIn
thirty			T@rtI
thousand		TO@zand
three			TrI
thursday		T@rdxA
toast			TWst
tobacco			T@bakW
torpedo			tOrpIdW
tuesday			tUsdxA
turbine			t@rbxIn
twelve			twelv
twenty			twentI
twice			twxIs
two				tU

tailor			txAl@r
tame			txAm
tap				tap
tear			tIr
tent			tent
term			t@rm
texture			teksC@r
thickness		Tikn@s
thief			TIf
thimble			Timb@l
thorax			TOraks
threat			Tret
thrust			Tr@st
tide			txId
tie				txI
tissue			tiSU
tongs			toGz
too				tU
total			tWtol
towel			tA@el
tower			tA@er
traffic			trafik
tragedy			traJidI
transmission	transmiS@n
transparent		transperint
trap			trap
travel			travil
treatment		trItmint
triangle		trxIang@l
truck			tr@k
tube			tUb
tune			tUn
tunnel			t@n@l
twin			twin
typist			txIpest

today			t@dxA
tonight			t@nxIt
tradesman		trxAdsman

talking			tokIG
teacher			tIC@r
touching		tuCIG
trader			trxAd@r
trainer			trxAn@r
training		trxAnIG
troubling		tr@blIG
troubled		tr@b@ld
turning			t@rnIG

U				.IU.

umbrella		@mbrel@
under			@nd@r
unit			IUnit
up				@p
use				IUs.

university		IUniv@rsitI

ugly			@glI
unconformity	@nconfOrmitI	
understanding	@nd@rstandIG
universe		IUniv@rs.
unknown			@n.nWn

underclothing	@nd@rklWTIG
undercooked		@nd@rkUk@d
undergo			@nd@rgW
undergrowth		@nd@rgrWT
undermined		@nd@rmxIn@d
undersigned		@nd@rsxIn@d
undersized		@nd@rsxIz@d
understatement	@nd@rstxAtmint
undertake		@nd@rtxAk
undervalued		@nd@rvalIUd
undo			@ndU
upkeep			@pkIp
uplift			@plift
upon			@pon
upright			@prxIt
uptake			@ptxAk

used			IUz@d

V				.vI.

value			valIU
verse			v@rs.
very			verI
vessel			ves@l
view			vI@
violent			vxI@lint
voice			vOIs

vanilla			v@nil@
violin			vxI@lin
visa			vIs@
vitamin			vxIt@min
vodka			vodk@
volt			vult

valency			vxAl@nsI
valley			valI
valve			valv
vapor			vxAp@r
variable		varI@b@l
vascular		vaskUl@r
vegetable		veJt@b@l
velocity		velositI
vestigial		vestiJI@l
victim			vikt@m
victory			viktOrI
volume			volIUm
vortex			vOrteks
vote			vWt

viewpoint		veUpOInt

W				.d@bIU.

walk			wok
wall			wal
waiting			wxAtIG
war				wAr
warm			wArm
wash			woS
waste			wxAst
watch			woC
water			wot@r
wave			wxAv
wax				waks
way				wxA
weather			weT@r
week			wIk
weight			wxAt
well			wel
west			west
wet				wet
what			w@t
wheel			wIl
when			wen
where			wer
which			wiC
while			wxIl
whip			wip
whistle			wist@l
white			wxIt
who				wU
why				wxI
wide			wxId
will			wil
wind			wind
window			windW
wine			wxIn
wing			wIG
winter			wint@r
wire			wxIr
wise			wxIz
with			wiT
woman			wumin
wood			wud
wool			wul
word			wird
work			wirk
worm			wOrm
wound			wUnd
writing			rxItIG
wrong			roG

wednesday		wenzdxA
whisky			wiskI

weak			wIk
wedge			weJ
welcome			welk@m
whether			weT@r
wholesale		wOlsxAl
widow			widW
wife			wxIf
wild			wxIld
world			werld
wreck			rek
wrist			rist

waterfall		wot@rfol
weekend			wIkind
whatever		wutev@r
whenever		wenev@r
whereas			weraz
whereby			werbxI
wherever		werev@r
whichever		wiCev@r
whitewash		wxItwoS
whoever			wUev@r
windpipe		windpxIp
within			wiTin
without			wiTA@t
woodwork		wUdwirk
workhouse		wirkhA@s

waiter			wxAt@r
worker			wirk@r
working			wirkIG
writer			raIt@r
waiting			wxAtIG
wasted			wxAst@d

X				.eks.

x-ray			eksrxA

Y				.wxI.

year			R
yellow			IelW
yes				Ies
yesterday		Iest@rdxA
you				IU
young			I@G
yawn			Ion
yearbook		RbUk
yourself		IOrself

Z				.zI.

zebra			zIbr@
zinc			zInk
zoology			zUl@JI
zookeeper		zUkIp@r
